block_id	sample	contig	start	end	n_windows	candidate_donor	candidate_donor_role	mean_donor_similarity	mean_nearest_target_similarity	mean_similarity_delta	max_missing_rate	mean_private_alt_rate	mean_nonref_rate	evidence_class	interpretation
IB00000052	Harosoy-sharp	Gm15	1008049	39757831	152	Harosoy	off_target	0.99463	0.318745	0.675885	0.0	0.004349	0.998979	offtarget_closer_than_target	Target sample is locally closest to an off-target sample; review as a candidate donor-like or introgressed block.
IB00000053	Harosoy-sharp	Gm15	39258291	49997914	40	Harosoy	off_target	0.99982	0.529251	0.470569	0.0	0.00013	0.99995	offtarget_closer_than_target	Target sample is locally closest to an off-target sample; review as a candidate donor-like or introgressed block.
IB00000054	Harosoy-sharp	Gm15	51759672	55349076	12	Harosoy	off_target	1.0	0.33284	0.66716	0.0	0.0	1.0	offtarget_closer_than_target	Target sample is locally closest to an off-target sample; review as a candidate donor-like or introgressed block.
